HOUSEHOLD,FARM,OWNERSHP,ACREHOUS,TAXINCL,PROPINSR,COSTELEC,VALUEH,ROOMS,PLUMBING,PUMA
2408215,0,1,2,0,40,5,13,6,2,0
2408216,0,2,1,0,0,8,99,4,2,0
2408217,1,2,1,0,0,13,99,5,2,0
2408218,0,0,0,0,0,0,99,0,0,0
2408219,0,2,0,0,0,6,99,4,2,0
2408220,0,1,1,2,36,7,6,6,2,0
2408221,0,2,2,0,0,99,99,5,2,0
2408222,0,1,1,1,42,8,6,5,2,0
2408223,0,1,1,0,59,9,2,4,2,0
2408225,0,2,1,0,0,99,99,4,2,0
2408226,0,1,1,1,59,12,5,4,2,0
2408227,0,1,1,2,39,17,13,7,2,0
2408228,0,1,1,0,30,3,2,4,2,0
2408229,0,1,1,1,59,9,22,7,2,0
2408230,0,1,2,2,59,15,22,8,2,0
2408231,0,1,1,0,12,3,0,2,2,0
2408232,0,1,1,2,59,6,8,5,2,0
2408233,0,1,1,2,20,6,9,6,2,0
2408234,0,1,1,1,49,6,3,5,2,0
2408235,0,2,0,0,0,10,99,4,2,0
2408236,0,2,1,0,0,8,99,5,2,0
2408237,0,1,1,0,42,5,8,5,2,0
2408238,0,0,0,0,0,0,99,0,0,0
2408239,0,1,2,0,59,15,35,5,2,0
2408240,0,0,0,0,0,0,99,0,0,0
2408241,0,1,1,2,59,8,13,6,2,0
2408242,0,1,1,0,50,30,4,5,2,0
2408243,0,1,1,0,38,12,18,3,2,0
2408244,0,1,2,1,22,20,7,8,2,0
2408245,0,0,0,0,0,0,99,0,0,0
2408246,0,2,1,0,0,6,99,5,2,0
2408248,0,0,0,0,0,0,99,0,0,0
2408249,0,1,1,0,16,12,2,4,2,0
2408250,0,0,0,0,0,0,99,0,0,0
2408251,0,2,0,0,0,6,99,4,2,0
2408252,0,1,0,1,26,6,2,1,1,0
2408253,0,1,2,1,50,6,8,6,2,0
2408254,0,2,1,0,0,24,99,6,2,0
2408255,0,1,1,0,45,6,8,5,2,0
2408256,0,2,1,0,0,8,99,6,2,0
2408257,0,1,1,0,38,8,7,4,2,0
2408258,0,2,0,0,0,9,99,4,2,0
2408259,0,1,1,0,28,6,9,5,2,0
2408260,0,1,1,1,59,7,13,5,2,0
2408261,0,2,1,0,0,3,99,5,2,0
2408262,1,1,2,1,59,57,16,5,2,0
2408263,0,1,1,0,14,9,0,2,2,0
2408264,0,2,0,0,0,10,99,3,2,0
2408265,0,1,1,0,50,6,6,5,2,0
2408266,0,2,1,0,0,4,99,5,2,0
2408267,0,1,1,2,36,14,8,4,2,0
2408268,1,1,2,0,59,18,62,8,2,0
2408269,0,2,1,0,0,7,99,5,2,0
2408270,0,2,0,0,0,9,99,4,2,0
2408271,0,1,1,2,43,13,11,6,2,0
2408274,0,1,1,2,50,11,8,5,2,0
2408276,0,1,1,0,42,3,11,8,2,0
2408277,0,1,1,1,36,12,9,6,2,0
2408278,0,1,1,0,59,12,13,6,2,0
2408279,0,1,1,0,59,25,8,5,2,0
2408280,0,2,0,0,0,6,99,4,2,0
2408281,0,2,0,0,0,8,99,5,2,0
2408282,0,1,1,2,59,26,22,5,2,0
2408284,0,2,1,0,0,7,99,5,2,0
2408285,1,1,2,0,59,13,35,6,2,0
2408286,0,0,0,0,0,0,99,0,0,0
2408287,0,0,0,0,0,0,99,0,0,0
2408289,0,1,1,2,40,9,5,5,2,0
2408290,0,1,1,0,25,12,0,5,2,0
2408292,0,1,2,2,38,16,18,5,2,0
2408293,0,1,1,1,45,7,5,7,2,0
2408294,0,1,1,0,53,7,16,7,2,0
2408295,0,1,1,1,30,30,2,6,2,0
2408296,0,2,1,0,0,3,99,5,2,0
2408297,0,2,0,0,0,99,99,4,2,0
2408298,0,2,1,0,0,6,99,5,2,0
2408300,0,1,1,2,52,11,11,7,2,0
2408301,0,1,1,0,59,8,4,5,2,0
2408302,0,2,2,0,0,11,99,8,2,0
2408303,0,1,1,1,36,18,16,8,2,0
2408304,0,2,0,0,0,6,99,4,2,0
2408305,0,1,1,2,40,11,13,7,2,0
2408306,0,2,1,0,0,99,99,7,2,0
2408307,1,2,2,0,0,10,99,7,2,0
2408308,0,1,1,0,20,6,4,4,2,0
2408309,0,1,1,1,42,10,3,7,2,0
2408310,0,1,1,2,40,14,9,7,2,0
2408311,0,2,1,0,0,9,99,5,2,0
2408312,0,1,1,1,25,4,8,5,2,0
2408313,0,2,1,0,0,7,99,4,2,0
2408314,0,1,1,0,37,12,7,4,2,0
2408315,0,0,0,0,0,0,99,0,0,0
2408316,0,1,1,1,59,17,8,6,2,0
2408318,0,1,1,2,9,6,8,5,2,0
2408319,0,1,1,0,59,7,6,5,2,0
2408320,1,1,2,1,50,12,4,5,2,0
2408322,0,1,2,0,59,12,5,6,2,0
2408323,0,1,1,2,45,24,7,9,2,0
2408324,0,2,1,0,0,5,99,6,2,0
2408327,0,1,1,1,59,12,22,7,2,0
2408328,0,2,1,0,0,7,99,6,2,0
2408329,0,1,1,0,39,9,11,6,2,0
2408331,0,1,1,0,59,3,16,4,2,0
2408332,0,2,1,0,0,8,99,5,2,0
2408333,0,1,1,0,59,22,13,7,2,0
2408334,0,1,2,2,59,6,13,5,2,0
2408335,0,1,2,0,28,7,2,6,2,0
2408337,0,2,0,0,0,6,99,5,2,0
2408338,0,1,1,0,59,7,6,5,2,0
2408339,0,1,1,0,54,7,8,6,2,0
2408340,0,1,1,2,59,25,9,6,2,0
2408341,0,1,2,1,59,12,87,7,2,0
2408342,0,1,1,0,53,12,22,7,2,0
2408343,0,1,1,0,59,7,62,8,2,0
2408344,0,1,1,2,20,10,8,6,2,0
2408345,0,2,1,0,0,6,99,6,2,0
2408346,0,1,1,1,59,25,35,7,2,0
2408349,0,1,1,1,40,10,11,6,2,0
2408350,0,2,2,0,0,12,99,6,2,0
2408351,0,2,0,0,0,6,99,4,2,0
2408352,0,2,1,0,0,5,99,2,2,0
2408353,0,1,1,0,23,4,6,5,2,0
2408355,0,2,2,0,0,2,99,5,2,0
2408357,0,2,0,0,0,1,99,3,2,0
2408358,0,1,1,1,59,0,6,4,2,0
2408359,1,1,2,0,59,1,22,5,2,0
2408360,0,2,0,0,0,99,99,3,2,0
2408361,0,1,2,0,59,25,27,4,2,0
2408362,0,1,2,0,30,9,16,5,2,0
2408363,0,2,0,0,0,7,99,5,2,0
2408364,0,1,1,1,59,24,27,7,2,0
2408365,0,1,1,2,59,11,6,6,2,0
2408366,0,2,1,0,0,3,99,4,2,0
2408369,0,1,2,1,59,3,22,7,2,0
2408370,0,1,2,0,58,12,13,7,2,0
2408371,0,1,1,1,59,7,7,5,2,0
2408372,0,2,2,0,0,7,99,6,2,0
2408373,0,1,1,0,40,9,8,5,2,0
2408374,0,0,0,0,0,0,99,0,0,0
2408375,0,1,1,0,53,6,8,4,2,0
2408376,0,1,1,2,59,9,18,6,2,0
2408377,0,1,1,2,59,13,11,6,2,0
2408378,0,1,1,1,40,14,6,5,2,0
2408379,0,1,1,0,59,7,16,6,2,0
2408380,0,2,0,0,0,7,99,4,2,0
2408382,0,0,0,0,0,0,99,0,0,0
2408383,0,1,1,2,36,14,5,6,2,0
2408384,0,1,1,1,40,7,22,5,2,0
2408385,0,1,1,1,59,10,11,6,2,0
2408386,0,1,1,2,43,2,6,5,2,0
2408387,0,2,2,0,0,9,99,3,2,0
2408388,0,1,1,1,18,7,7,6,2,0
2408389,0,0,0,0,0,0,99,0,0,0
2408390,0,2,1,0,0,11,99,6,2,0
2408391,0,2,1,0,0,24,99,6,2,0
2408392,0,2,1,0,0,3,99,4,2,0
2408393,0,2,0,0,0,7,99,2,2,0
2408394,0,2,1,0,0,7,99,9,2,0
2408395,0,2,2,0,0,5,99,2,2,0
2408396,0,2,0,0,0,8,99,4,2,0
2408397,0,1,0,0,27,2,0,1,2,0
2408398,0,2,1,0,0,5,99,5,2,0
2408399,0,1,1,2,41,30,11,7,2,0
2408400,0,2,1,0,0,10,99,3,2,0
2408401,0,2,0,0,0,5,99,1,2,0
2408402,0,1,2,0,39,1,6,5,2,0
2408403,0,1,1,1,51,12,11,4,2,0
2408404,0,1,1,1,55,10,7,9,2,0
2408405,0,0,0,0,0,0,99,0,0,0
2408406,0,2,1,0,0,15,99,9,2,0
2408407,0,2,1,0,0,3,99,2,2,0
2408408,0,2,1,0,0,6,99,4,2,0
2408409,0,2,0,0,0,12,99,5,2,0
2408410,0,1,1,0,29,10,2,3,2,0
2408411,0,1,1,1,40,7,8,4,2,0
2408412,0,2,1,0,0,9,99,4,2,0
2408413,0,1,1,2,48,15,7,5,2,0
2408415,0,1,1,0,55,7,4,4,2,0
2408416,0,0,0,0,0,0,99,0,0,0
2408417,0,2,1,0,0,1,99,5,2,0
2408418,0,0,0,0,0,0,99,0,0,0
2408419,0,2,1,0,0,6,99,5,2,0
2408420,0,1,1,0,33,9,6,6,2,0
2408421,0,2,2,0,0,8,99,8,2,0
2408422,0,1,2,1,59,42,99,9,2,0
2408423,0,1,2,0,24,3,0,4,2,0
2408424,0,0,0,0,0,0,99,0,0,0
2408425,0,2,1,0,0,8,99,5,2,0
2408426,0,2,1,0,0,1,99,3,2,0
2408427,0,1,1,0,34,7,5,5,2,0
2408429,0,2,1,0,0,5,99,3,2,0
2408430,0,2,1,0,0,6,99,6,2,0
2408431,1,1,2,1,59,12,87,8,2,0
2408432,0,2,1,0,0,3,99,3,2,0
2408433,1,1,2,1,59,31,22,6,2,0
2408434,0,1,2,1,25,30,27,7,2,0
2408435,0,1,2,1,59,9,35,8,2,0
2408437,0,1,1,1,59,99,7,4,2,0
2408438,0,1,1,0,35,12,7,5,2,0
2408439,0,1,1,1,40,7,16,5,2,0
2408440,0,1,1,0,59,13,13,4,2,0
2408441,0,2,0,0,0,0,99,3,2,0
2408442,0,1,1,1,59,12,18,3,2,0
2408444,0,1,1,1,28,12,11,7,2,0
2408445,0,1,1,1,59,15,13,7,2,0
2408446,0,1,1,0,25,9,6,4,2,0
2408447,0,1,1,2,59,9,16,7,2,0
2408448,0,1,1,2,40,9,6,7,2,0
2408449,0,1,1,2,2,24,6,7,2,0
2408451,0,2,1,0,0,11,99,3,2,0
2408452,0,1,1,1,59,16,11,6,2,0
2408453,0,2,1,0,0,18,99,6,2,0
2408454,0,1,1,2,50,11,8,7,2,0
2408455,0,2,0,0,0,6,99,5,2,0
2408456,0,1,2,0,59,24,35,6,2,0
2408458,0,1,1,1,59,20,18,7,2,0
2408459,0,0,0,0,0,0,99,0,0,0
2408460,0,1,1,1,51,24,27,9,2,0
2408461,0,2,1,0,0,3,99,4,2,0
2408462,0,1,2,1,59,12,6,8,2,0
2408463,0,1,1,0,59,6,3,5,2,0
2408464,0,2,1,0,0,12,99,5,2,0
2408465,0,1,1,1,59,1,8,2,2,0
2408466,0,1,1,1,40,6,4,4,2,0
2408467,0,2,2,0,0,99,99,5,2,0
2408468,0,1,1,0,40,15,8,5,2,0
2408469,0,1,1,0,17,20,1,2,2,0
2408471,0,1,1,2,40,5,6,4,2,0
2408472,0,2,1,0,0,5,99,5,2,0
2408473,0,2,1,0,0,4,99,3,2,0
2408476,0,2,1,0,0,1,99,3,2,0
2408477,0,1,1,1,20,7,16,7,2,0
2408478,0,1,1,1,26,6,7,3,2,0
2408479,0,0,0,0,0,0,99,0,0,0
2408481,0,1,1,0,20,7,13,6,2,0
2408482,0,2,0,0,0,7,99,4,2,0
2408483,0,2,1,0,0,14,99,4,2,0
2408485,0,2,0,0,0,6,99,3,2,0
2408487,0,2,1,0,0,12,99,6,2,0
2408488,0,1,1,1,35,6,6,4,2,0
2408490,0,1,1,1,59,5,7,6,2,0
2408491,0,1,1,0,40,99,6,5,2,0
2408492,0,1,2,1,40,8,18,4,2,0
2408493,0,0,0,0,0,0,99,0,0,0
2408494,0,1,1,2,30,13,9,6,2,0
2408495,0,1,1,0,31,9,0,5,2,0
2408496,0,1,2,2,59,9,8,5,2,0
2408497,0,1,1,2,40,6,6,4,2,0
2408498,0,1,1,0,29,5,4,6,2,0
2408500,0,1,1,2,30,10,13,6,2,0
